SK_ID_CURR,TARGET
100001,0.05768567354177128
100005,0.23525268127143015
100013,0.04461431282679993
100028,0.03159662011884596
100038,0.11053779303717355
100042,0.025337084107979784
100057,0.022312065522368793
100065,0.09809635466403577
100066,0.018778472744462538
100067,0.11120222523587975
100074,0.05954677541597972
100090,0.08158356470795652
100091,0.17142680070821062
100092,0.08766182335545336
100106,0.09303922151834422
100107,0.11667434391028908
100109,0.06951389693582488
100117,0.031276390277473635
100128,0.06452886447355814
100141,0.04404970864881163
100150,0.021236936079747387
100168,0.008594087207013738
100169,0.04362678653113225
100170,0.08976628866571168
100171,0.04296765475982892
100172,0.11937012805767992
100184,0.09882517979728334
100187,0.07636725411522144
100212,0.04230228891730323
100222,0.06714368843453282
100223,0.017151960115933906
100232,0.022495392079597745
100241,0.15275885027260314
100245,0.01853006922157772
100253,0.018907432053020628
100256,0.1019478279685463
100271,0.011925405119592017
100278,0.20618212462118599
100280,0.016969505442831805
100306,0.15587911188949774
100311,0.12792619046408127
100312,0.02118959470186342
100330,0.07856318673256389
100331,0.05902678494096683
100352,0.096539954093938
100358,0.1464973350916455
100367,0.035961899010794274
100382,0.14579521654750346
100384,0.060774157303647845
100385,0.08906261232923969
100386,0.054039467452116526
100399,0.042199197904733976
100404,0.11164429899611338
100416,0.022409429684434826
100422,0.1052663612182046
100426,0.032189664065615596
100438,0.03936136897264445
100444,0.14669101903798926
100445,0.12596775810692384
100446,0.09748408513130719
100447,0.03153376178638242
100450,0.05377575191647704
100466,0.02932561487453464
100483,0.025071215705904704
100484,0.023837960219413312
100494,0.06759670187928211
100510,0.1587197201535803
100512,0.027801065258417672
100517,0.0333757805332168
100548,0.0587837436288614
100551,0.057689500440882835
100552,0.1324566269978813
100553,0.026375323477116307
100561,0.1547160670301939
100568,0.3939229051383582
100569,0.04091457819999449
100591,0.05079852969136598
100592,0.020188857161381114
100602,0.05650454848453549
100607,0.05241033206783648
100613,0.07338600327395521
100617,0.10701190366524589
100618,0.08809865854782507
100622,0.14025697197989742
100625,0.08735520529828682
100677,0.11209043605490983
100699,0.05129128795034151
100702,0.45037272999661404
100711,0.09455046995932015
100729,0.18079375245215445
100740,0.11735570193554028
100744,0.12750595944574852
100745,0.044528545345260746
100747,0.1328993020273098
100751,0.24667013189620537
100752,0.040643970423195154
100753,0.33439188689731053
100754,0.19521750012312866
100760,0.057262863883660614
100762,0.0773133424147492
100763,0.04523724939844073
100765,0.026020978705127682
100770,0.1084684251414401
100772,0.03897971146967961
100777,0.04162233044439002
100791,0.022046982522753344
100792,0.01060872367689411
100797,0.024219528437144377
100823,0.028198185231312383
100826,0.042458477008879454
100830,0.034684149914083924
100836,0.32820732625802984
100872,0.06313245704258598
100910,0.0758594634995974
100913,0.11434887605006679
